customer_id,name,gender,age,country,signup_date,customer_tier,months_since_signup,churned,CLV,next_purchase_prob
1,Allison Hill,M,24,USA,2021-07-10,Bronze,30,True,92.37230273241835,0.41029879454132856
2,Noah Rhodes,M,38,Other,2020-03-22,Bronze,46,True,110.26357459505607,0.4691786081777629
3,Angie Henderson,M,46,Asia,2020-10-02,Silver,39,True,141.05728640412747,0.5064721183696098
4,Daniel Wagner,F,20,EU,2020-10-15,Bronze,39,False,84.17410896523305,0.6100807618914015
5,Cristian Santos,M,50,USA,2023-07-17,Bronze,5,False,80.9777677330963,0.4172954608251552
6,Connie Lawrence,F,31,USA,2022-11-28,Bronze,13,False,125.32962724670561,0.0815648302855323
7,Abigail Shaffer,M,23,USA,2023-11-06,Bronze,1,False,97.55000937954075,0.35650863630806706
8,Gina Moore,F,40,Asia,2023-06-28,Silver,6,False,91.27055609965281,0.5200540022713077
9,Gabrielle Davis,F,28,EU,2019-12-03,Bronze,49,True,99.84511412012769,0.6772743989542014
10,Ryan Munoz,F,32,Asia,2020-05-11,Platinum,44,True,275.07675673866555,0.5449554440318997
11,Monica Herrera,F,28,USA,2020-12-28,Silver,36,True,156.13393055689508,0.6493557878187666
12,Jamie Arnold,F,24,Other,2021-03-05,Bronze,34,True,88.65550915781202,0.5236464790067621
13,Lisa Hensley,F,40,Asia,2020-05-22,Bronze,43,True,125.73751653160556,0.5327065682129546
14,Michele Williams,M,30,USA,2023-11-13,Bronze,1,False,96.93217025964096,0.4636921009418044
15,Dylan Miller,F,18,USA,2019-11-16,Silver,50,True,143.68804005443562,0.6574122948093021
16,Brian Ramirez,M,38,USA,2021-06-26,Bronze,30,True,93.6791130776594,0.7469083630485609
17,Holly Wood,M,20,USA,2023-08-22,Bronze,4,False,109.47377503899465,0.35530916301292614
18,Derek Zuniga,M,21,EU,2023-12-28,Bronze,0,False,107.89865500508495,0.533708317891615
19,Lisa Jackson,M,44,EU,2021-08-10,Silver,29,True,138.2747205237983,0.3212106037090458
20,Carla Gray,M,21,USA,2023-06-13,Silver,6,False,150.7156640205112,0.7507197235749584
