customer_id,name,gender,age,country,signup_date,customer_tier,months_since_signup,churned,CLV,next_purchase_prob,total_spent,weekly_visits,session_time_minutes,page_views,app_opens,num_promotions_responded,high_spender,high_engagement
1,Allison Hill,M,24,USA,2021-07-10,Bronze,30,True,92.37230273241836,0.4102987945413285,275.37,8,17.61,16.0,6,0,False,False
2,Noah Rhodes,M,38,Other,2020-03-22,Bronze,46,True,110.26357459505608,0.4691786081777629,347.41,3,12.93,9.0,2,1,False,False
3,Angie Henderson,M,46,Asia,2020-10-02,Silver,39,True,141.05728640412747,0.5064721183696098,195.88,14,20.7,56.0,12,1,False,False
4,Daniel Wagner,F,20,EU,2020-10-15,Bronze,39,False,84.17410896523305,0.6100807618914015,288.55,6,11.53,24.0,6,0,False,False
5,Cristian Santos,M,50,USA,2023-07-17,Bronze,5,False,80.9777677330963,0.4172954608251552,266.97,5,7.87,10.0,4,1,False,False
6,Connie Lawrence,F,31,USA,2022-11-28,Bronze,13,False,125.3296272467056,0.0815648302855323,299.03,4,1.24,8.0,4,0,False,False
7,Abigail Shaffer,M,23,USA,2023-11-06,Bronze,1,False,97.55000937954075,0.356508636308067,328.94,8,10.58,24.0,8,1,False,False
8,Gina Moore,F,40,Asia,2023-06-28,Silver,6,False,91.2705560996528,0.5200540022713077,721.6800000000001,12,13.61,48.0,12,0,False,False
9,Gabrielle Davis,F,28,EU,2019-12-03,Bronze,49,True,99.84511412012768,0.6772743989542014,324.90999999999997,4,24.19,20.0,4,0,False,False
10,Ryan Munoz,F,32,Asia,2020-05-11,Platinum,44,True,275.07675673866555,0.5449554440318997,463.72,17,15.7,68.0,15,1,False,False
11,Monica Herrera,F,28,USA,2020-12-28,Silver,36,True,156.13393055689508,0.6493557878187666,298.44,5,18.21,10.0,5,0,False,False
12,Jamie Arnold,F,24,Other,2021-03-05,Bronze,34,True,88.65550915781202,0.5236464790067621,432.39,5,16.52,10.0,4,1,False,False
13,Lisa Hensley,F,40,Asia,2020-05-22,Bronze,43,True,125.73751653160556,0.5327065682129546,373.48,4,18.31,8.0,4,1,False,False
14,Michele Williams,M,30,USA,2023-11-13,Bronze,1,False,96.93217025964096,0.4636921009418044,421.97,8,11.85,32.0,8,1,False,False
15,Dylan Miller,F,18,USA,2019-11-16,Silver,50,True,143.68804005443562,0.6574122948093021,1342.14,6,8.88,24.0,7,0,False,False
16,Brian Ramirez,M,38,USA,2021-06-26,Bronze,30,True,93.6791130776594,0.7469083630485609,444.32,8,12.69,16.0,10,0,False,False
